site_code;vid;ip;hostname;description
DEMO-ALPHA;10;10.10.0.2;ALPHA-ADM-001;Équipement d’administration 001
DEMO-ALPHA;10;10.10.0.3;ALPHA-ADM-002;Équipement d’administration 002
DEMO-ALPHA;10;10.10.0.4;ALPHA-ADM-003;Équipement d’administration 003
DEMO-ALPHA;10;10.10.0.5;ALPHA-ADM-004;Équipement d’administration 004
DEMO-ALPHA;10;10.10.0.6;ALPHA-ADM-005;Équipement d’administration 005
DEMO-ALPHA;10;10.10.0.7;ALPHA-ADM-006;Équipement d’administration 006
DEMO-ALPHA;10;10.10.0.8;ALPHA-ADM-007;Équipement d’administration 007
DEMO-ALPHA;10;10.10.0.9;ALPHA-ADM-008;Équipement d’administration 008
DEMO-ALPHA;20;10.10.0.66;ALPHA-SRV-001;Serveur applicatif 001
DEMO-ALPHA;20;10.10.0.67;ALPHA-SRV-002;Serveur applicatif 002
DEMO-ALPHA;20;10.10.0.68;ALPHA-SRV-003;Serveur applicatif 003
DEMO-ALPHA;20;10.10.0.69;ALPHA-SRV-004;Serveur applicatif 004
DEMO-ALPHA;20;10.10.0.70;ALPHA-SRV-005;Serveur applicatif 005
DEMO-ALPHA;20;10.10.0.71;ALPHA-SRV-006;Serveur applicatif 006
DEMO-ALPHA;20;10.10.0.72;ALPHA-SRV-007;Serveur applicatif 007
DEMO-ALPHA;20;10.10.0.73;ALPHA-SRV-008;Serveur applicatif 008
DEMO-ALPHA;20;10.10.0.74;ALPHA-SRV-009;Serveur applicatif 009
DEMO-ALPHA;20;10.10.0.75;ALPHA-SRV-010;Serveur applicatif 010
DEMO-ALPHA;20;10.10.0.76;ALPHA-SRV-011;Serveur applicatif 011
DEMO-ALPHA;20;10.10.0.77;ALPHA-SRV-012;Serveur applicatif 012
DEMO-ALPHA;20;10.10.0.78;ALPHA-SRV-013;Serveur applicatif 013
DEMO-ALPHA;20;10.10.0.79;ALPHA-SRV-014;Serveur applicatif 014
DEMO-ALPHA;20;10.10.0.80;ALPHA-SRV-015;Serveur applicatif 015
DEMO-ALPHA;30;10.10.1.2;ALPHA-PC-001;Poste utilisateur 001
DEMO-ALPHA;30;10.10.1.3;ALPHA-PC-002;Poste utilisateur 002
DEMO-ALPHA;30;10.10.1.4;ALPHA-PC-003;Poste utilisateur 003
DEMO-ALPHA;30;10.10.1.5;ALPHA-PC-004;Poste utilisateur 004
DEMO-ALPHA;30;10.10.1.6;ALPHA-PC-005;Poste utilisateur 005
DEMO-ALPHA;30;10.10.1.7;ALPHA-PC-006;Poste utilisateur 006
DEMO-ALPHA;30;10.10.1.8;ALPHA-PC-007;Poste utilisateur 007
DEMO-ALPHA;30;10.10.1.9;ALPHA-PC-008;Poste utilisateur 008
DEMO-ALPHA;30;10.10.1.10;ALPHA-PC-009;Poste utilisateur 009
