multicast_address;group_name;group_description;port;content;flow_description;sources;vlans
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5100;Audio programme 1;Flux de démonstration 1/12;10.10.1.16;DEMO-CHARLIE/20|DEMO-DELTA/50
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5101;Télémétrie 2;Flux de démonstration 2/12;10.10.1.27;DEMO-DELTA/30|DEMO-ECHO/60|DEMO-FOXTROT/90
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5102;Données techniques 3;Flux de démonstration 3/12;10.10.1.38|10.10.1.55;DEMO-ECHO/40|DEMO-FOXTROT/70|DEMO-ALPHA/50|DEMO-BRAVO/60
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5103;Métadonnées 4;Flux de démonstration 4/12;10.10.1.49;DEMO-FOXTROT/50
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5104;Synchronisation 5;Flux de démonstration 5/12;10.10.1.60;DEMO-ALPHA/10|DEMO-BRAVO/20
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5105;Supervision 6;Flux de démonstration 6/12;10.10.2.11|10.10.2.28;DEMO-BRAVO/70|DEMO-CHARLIE/10|DEMO-DELTA/20
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5106;Contrôle 7;Flux de démonstration 7/12;10.10.2.22;DEMO-CHARLIE/80|DEMO-DELTA/110|DEMO-ECHO/10|DEMO-FOXTROT/20
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5107;Mesures 8;Flux de démonstration 8/12;10.10.2.33;DEMO-DELTA/90
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5108;État système 9;Flux de démonstration 9/12;10.10.2.44|10.10.2.61;DEMO-ECHO/100|DEMO-FOXTROT/130
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5109;Interphonie 10;Flux de démonstration 10/12;10.10.2.55;DEMO-FOXTROT/110|DEMO-ALPHA/40|DEMO-BRAVO/30
239.100.0.1;VIDEO-PRINCIPAL;Groupe multicast de démonstration 01;5110;Horloge 11;Flux de démonstration 11/12;10.10.2.66;DEMO-ALPHA/20|DEMO-BRAVO/10|DEMO-CHARLIE/90|DEMO-DELTA/100
